Rocksalt NiO, type-II antiferromagnetic order, generated for the DPA4C native-spin example

64 atoms
2 atom types

0.0 8.34000000 xlo xhi
0.0 8.34000000 ylo yhi
0.0 8.34000000 zlo zhi

Masses

1 58.6934
2 15.9994

Atoms # spin

1 1 0.00000000 0.00000000 0.00000000 0.57735027 0.57735027 0.57735027 1.90000000
2 2 2.08500000 0.00000000 0.00000000 0.00000000 0.00000000 1.00000000 0.00000000
3 1 0.00000000 2.08500000 2.08500000 -0.57735027 -0.57735027 -0.57735027 1.90000000
4 2 2.08500000 2.08500000 2.08500000 0.00000000 0.00000000 1.00000000 0.00000000
5 1 2.08500000 0.00000000 2.08500000 -0.57735027 -0.57735027 -0.57735027 1.90000000
6 2 4.17000000 0.00000000 2.08500000 0.00000000 0.00000000 1.00000000 0.00000000
7 1 2.08500000 2.08500000 0.00000000 -0.57735027 -0.57735027 -0.57735027 1.90000000
8 2 4.17000000 2.08500000 0.00000000 0.00000000 0.00000000 1.00000000 0.00000000
9 1 0.00000000 0.00000000 4.17000000 -0.57735027 -0.57735027 -0.57735027 1.90000000
10 2 2.08500000 0.00000000 4.17000000 0.00000000 0.00000000 1.00000000 0.00000000
11 1 0.00000000 2.08500000 6.25500000 0.57735027 0.57735027 0.57735027 1.90000000
12 2 2.08500000 2.08500000 6.25500000 0.00000000 0.00000000 1.00000000 0.00000000
13 1 2.08500000 0.00000000 6.25500000 0.57735027 0.57735027 0.57735027 1.90000000
14 2 4.17000000 0.00000000 6.25500000 0.00000000 0.00000000 1.00000000 0.00000000
15 1 2.08500000 2.08500000 4.17000000 0.57735027 0.57735027 0.57735027 1.90000000
16 2 4.17000000 2.08500000 4.17000000 0.00000000 0.00000000 1.00000000 0.00000000
17 1 0.00000000 4.17000000 0.00000000 -0.57735027 -0.57735027 -0.57735027 1.90000000
18 2 2.08500000 4.17000000 0.00000000 0.00000000 0.00000000 1.00000000 0.00000000
19 1 0.00000000 6.25500000 2.08500000 0.57735027 0.57735027 0.57735027 1.90000000
20 2 2.08500000 6.25500000 2.08500000 0.00000000 0.00000000 1.00000000 0.00000000
21 1 2.08500000 4.17000000 2.08500000 0.57735027 0.57735027 0.57735027 1.90000000
22 2 4.17000000 4.17000000 2.08500000 0.00000000 0.00000000 1.00000000 0.00000000
23 1 2.08500000 6.25500000 0.00000000 0.57735027 0.57735027 0.57735027 1.90000000
24 2 4.17000000 6.25500000 0.00000000 0.00000000 0.00000000 1.00000000 0.00000000
25 1 0.00000000 4.17000000 4.17000000 0.57735027 0.57735027 0.57735027 1.90000000
26 2 2.08500000 4.17000000 4.17000000 0.00000000 0.00000000 1.00000000 0.00000000
27 1 0.00000000 6.25500000 6.25500000 -0.57735027 -0.57735027 -0.57735027 1.90000000
28 2 2.08500000 6.25500000 6.25500000 0.00000000 0.00000000 1.00000000 0.00000000
29 1 2.08500000 4.17000000 6.25500000 -0.57735027 -0.57735027 -0.57735027 1.90000000
30 2 4.17000000 4.17000000 6.25500000 0.00000000 0.00000000 1.00000000 0.00000000
31 1 2.08500000 6.25500000 4.17000000 -0.57735027 -0.57735027 -0.57735027 1.90000000
32 2 4.17000000 6.25500000 4.17000000 0.00000000 0.00000000 1.00000000 0.00000000
33 1 4.17000000 0.00000000 0.00000000 -0.57735027 -0.57735027 -0.57735027 1.90000000
34 2 6.25500000 0.00000000 0.00000000 0.00000000 0.00000000 1.00000000 0.00000000
35 1 4.17000000 2.08500000 2.08500000 0.57735027 0.57735027 0.57735027 1.90000000
36 2 6.25500000 2.08500000 2.08500000 0.00000000 0.00000000 1.00000000 0.00000000
37 1 6.25500000 0.00000000 2.08500000 0.57735027 0.57735027 0.57735027 1.90000000
38 2 8.34000000 0.00000000 2.08500000 0.00000000 0.00000000 1.00000000 0.00000000
39 1 6.25500000 2.08500000 0.00000000 0.57735027 0.57735027 0.57735027 1.90000000
40 2 8.34000000 2.08500000 0.00000000 0.00000000 0.00000000 1.00000000 0.00000000
41 1 4.17000000 0.00000000 4.17000000 0.57735027 0.57735027 0.57735027 1.90000000
42 2 6.25500000 0.00000000 4.17000000 0.00000000 0.00000000 1.00000000 0.00000000
43 1 4.17000000 2.08500000 6.25500000 -0.57735027 -0.57735027 -0.57735027 1.90000000
44 2 6.25500000 2.08500000 6.25500000 0.00000000 0.00000000 1.00000000 0.00000000
45 1 6.25500000 0.00000000 6.25500000 -0.57735027 -0.57735027 -0.57735027 1.90000000
46 2 8.34000000 0.00000000 6.25500000 0.00000000 0.00000000 1.00000000 0.00000000
47 1 6.25500000 2.08500000 4.17000000 -0.57735027 -0.57735027 -0.57735027 1.90000000
48 2 8.34000000 2.08500000 4.17000000 0.00000000 0.00000000 1.00000000 0.00000000
49 1 4.17000000 4.17000000 0.00000000 0.57735027 0.57735027 0.57735027 1.90000000
50 2 6.25500000 4.17000000 0.00000000 0.00000000 0.00000000 1.00000000 0.00000000
51 1 4.17000000 6.25500000 2.08500000 -0.57735027 -0.57735027 -0.57735027 1.90000000
52 2 6.25500000 6.25500000 2.08500000 0.00000000 0.00000000 1.00000000 0.00000000
53 1 6.25500000 4.17000000 2.08500000 -0.57735027 -0.57735027 -0.57735027 1.90000000
54 2 8.34000000 4.17000000 2.08500000 0.00000000 0.00000000 1.00000000 0.00000000
55 1 6.25500000 6.25500000 0.00000000 -0.57735027 -0.57735027 -0.57735027 1.90000000
56 2 8.34000000 6.25500000 0.00000000 0.00000000 0.00000000 1.00000000 0.00000000
57 1 4.17000000 4.17000000 4.17000000 -0.57735027 -0.57735027 -0.57735027 1.90000000
58 2 6.25500000 4.17000000 4.17000000 0.00000000 0.00000000 1.00000000 0.00000000
59 1 4.17000000 6.25500000 6.25500000 0.57735027 0.57735027 0.57735027 1.90000000
60 2 6.25500000 6.25500000 6.25500000 0.00000000 0.00000000 1.00000000 0.00000000
61 1 6.25500000 4.17000000 6.25500000 0.57735027 0.57735027 0.57735027 1.90000000
62 2 8.34000000 4.17000000 6.25500000 0.00000000 0.00000000 1.00000000 0.00000000
63 1 6.25500000 6.25500000 4.17000000 0.57735027 0.57735027 0.57735027 1.90000000
64 2 8.34000000 6.25500000 4.17000000 0.00000000 0.00000000 1.00000000 0.00000000
